Time (s)	Photovoltage	Reference Voltage	Apparent CD	Tau (sec)	1/Tau corrected	Minority Carrier Density
4.99E-05	2.59E-01	1.07E-01	1.67E+15	0.00E+00	0.0	1.67E+15
1.50E-04	1.43E+00	3.69E-01	1.00E+16	0.00E+00	0.0	1.00E+16
2.50E-04	1.92E+00	4.35E-01	1.40E+16	2.70E-05	36446.4	1.40E+16
3.50E-04	2.18E+00	4.81E-01	1.61E+16	2.69E-05	36412.2	1.61E+16
4.50E-04	2.19E+00	4.73E-01	1.62E+16	2.71E-05	36178.4	1.62E+16
5.50E-04	2.12E+00	4.48E-01	1.56E+16	2.71E-05	36148.6	1.56E+16
6.50E-04	2.03E+00	4.24E-01	1.49E+16	2.73E-05	36019.3	1.49E+16
7.50E-04	1.94E+00	4.00E-01	1.41E+16	2.74E-05	35849.6	1.41E+16
8.50E-04	1.86E+00	3.78E-01	1.34E+16	2.76E-05	35671.2	1.34E+16
9.50E-04	1.77E+00	3.57E-01	1.28E+16	2.77E-05	35519.9	1.28E+16
1.05E-03	1.69E+00	3.37E-01	1.21E+16	2.79E-05	35362.4	1.21E+16
1.15E-03	1.62E+00	3.19E-01	1.15E+16	2.80E-05	35224.2	1.15E+16
1.25E-03	1.54E+00	3.01E-01	1.09E+16	2.82E-05	35059.9	1.09E+16
1.35E-03	1.47E+00	2.84E-01	1.04E+16	2.83E-05	34904.0	1.04E+16
1.45E-03	1.40E+00	2.69E-01	9.86E+15	2.85E-05	34759.4	9.86E+15
1.55E-03	1.34E+00	2.54E-01	9.37E+15	2.86E-05	34612.4	9.37E+15
1.65E-03	1.28E+00	2.40E-01	8.90E+15	2.87E-05	34471.3	8.90E+15
1.75E-03	1.22E+00	2.27E-01	8.46E+15	2.89E-05	34331.1	8.46E+15
1.85E-03	1.16E+00	2.15E-01	8.04E+15	2.90E-05	34161.5	8.04E+15
1.95E-03	1.11E+00	2.03E-01	7.65E+15	2.92E-05	34017.9	7.65E+15
2.05E-03	1.06E+00	1.93E-01	7.27E+15	2.93E-05	33882.6	7.27E+15
2.15E-03	1.01E+00	1.82E-01	6.92E+15	2.94E-05	33755.9	6.92E+15
2.25E-03	9.68E-01	1.73E-01	6.59E+15	2.96E-05	33608.4	6.59E+15
2.35E-03	9.24E-01	1.64E-01	6.28E+15	2.97E-05	33458.4	6.28E+15
2.45E-03	8.83E-01	1.55E-01	5.98E+15	2.99E-05	33309.5	5.98E+15
2.55E-03	8.44E-01	1.47E-01	5.69E+15	3.00E-05	33173.9	5.69E+15
2.65E-03	8.07E-01	1.40E-01	5.43E+15	3.02E-05	32993.8	5.43E+15
2.75E-03	7.70E-01	1.33E-01	5.17E+15	3.02E-05	32916.1	5.17E+15
2.85E-03	7.37E-01	1.26E-01	4.94E+15	3.04E-05	32746.8	4.94E+15
2.95E-03	7.04E-01	1.20E-01	4.71E+15	3.05E-05	32621.2	4.71E+15
3.05E-03	6.74E-01	1.14E-01	4.50E+15	3.07E-05	32470.3	4.50E+15
3.15E-03	6.45E-01	1.08E-01	4.29E+15	3.08E-05	32324.5	4.29E+15
3.25E-03	6.17E-01	1.03E-01	4.10E+15	3.09E-05	32198.3	4.10E+15
3.35E-03	5.91E-01	9.78E-02	3.92E+15	3.11E-05	32030.3	3.92E+15
3.45E-03	5.65E-01	9.29E-02	3.74E+15	3.13E-05	31879.8	3.74E+15
3.55E-03	5.42E-01	8.84E-02	3.58E+15	3.15E-05	31684.8	3.58E+15
3.65E-03	5.19E-01	8.41E-02	3.42E+15	3.16E-05	31578.8	3.42E+15
3.75E-03	4.97E-01	8.00E-02	3.27E+15	3.17E-05	31418.9	3.27E+15
3.85E-03	4.76E-01	7.62E-02	3.13E+15	3.19E-05	31296.7	3.13E+15
3.95E-03	4.56E-01	7.26E-02	2.99E+15	3.20E-05	31179.8	2.99E+15
4.05E-03	4.36E-01	6.92E-02	2.86E+15	3.21E-05	31086.6	2.86E+15
4.15E-03	4.18E-01	6.59E-02	2.74E+15	3.22E-05	30941.8	2.74E+15
4.25E-03	4.00E-01	6.28E-02	2.62E+15	3.23E-05	30843.5	2.62E+15
4.35E-03	3.83E-01	5.99E-02	2.50E+15	3.24E-05	30756.3	2.50E+15
4.45E-03	3.67E-01	5.71E-02	2.40E+15	3.26E-05	30637.7	2.40E+15
4.55E-03	3.51E-01	5.45E-02	2.29E+15	3.26E-05	30627.9	2.29E+15
4.65E-03	3.37E-01	5.20E-02	2.19E+15	3.28E-05	30465.0	2.19E+15
4.75E-03	3.22E-01	4.96E-02	2.10E+15	3.28E-05	30454.6	2.10E+15
4.85E-03	3.09E-01	4.73E-02	2.01E+15	3.29E-05	30355.4	2.01E+15
4.95E-03	2.96E-01	4.52E-02	1.92E+15	3.30E-05	30283.4	1.92E+15
5.05E-03	2.83E-01	4.32E-02	1.84E+15	3.30E-05	30240.2	1.84E+15
5.15E-03	2.71E-01	4.12E-02	1.76E+15	3.31E-05	30198.8	1.76E+15
5.25E-03	2.59E-01	3.94E-02	1.68E+15	3.31E-05	30196.2	1.68E+15
5.35E-03	2.48E-01	3.76E-02	1.61E+15	3.31E-05	30126.7	1.61E+15
5.45E-03	2.38E-01	3.60E-02	1.54E+15	3.31E-05	30146.7	1.54E+15
5.55E-03	2.28E-01	3.43E-02	1.47E+15	3.33E-05	30025.7	1.47E+15
5.65E-03	2.18E-01	3.28E-02	1.40E+15	3.32E-05	30057.3	1.40E+15
5.75E-03	2.09E-01	3.13E-02	1.34E+15	3.34E-05	29949.7	1.34E+15
5.85E-03	1.99E-01	2.99E-02	1.29E+15	3.34E-05	29943.4	1.29E+15
5.95E-03	1.91E-01	2.85E-02	1.23E+15	3.34E-05	29948.4	1.23E+15
6.05E-03	1.82E-01	2.73E-02	1.17E+15	3.34E-05	29901.6	1.17E+15
6.15E-03	1.74E-01	2.61E-02	1.12E+15	3.34E-05	29933.4	1.12E+15
6.25E-03	1.67E-01	2.49E-02	1.07E+15	3.33E-05	30038.0	1.07E+15
6.35E-03	1.58E-01	2.38E-02	1.02E+15	3.31E-05	30212.7	1.02E+15
6.45E-03	1.51E-01	2.28E-02	9.73E+14	3.30E-05	30266.7	9.73E+14
6.55E-03	1.44E-01	2.18E-02	9.24E+14	3.28E-05	30435.5	9.24E+14
6.65E-03	1.37E-01	2.09E-02	8.80E+14	3.27E-05	30567.7	8.80E+14
6.75E-03	1.31E-01	1.99E-02	8.38E+14	3.26E-05	30691.6	8.38E+14
6.85E-03	1.24E-01	1.91E-02	7.94E+14	3.22E-05	31014.2	7.94E+14
6.95E-03	1.18E-01	1.82E-02	7.57E+14	3.22E-05	31084.8	7.57E+14
7.05E-03	1.12E-01	1.75E-02	7.19E+14	3.19E-05	31351.5	7.19E+14
7.15E-03	1.07E-01	1.67E-02	6.83E+14	3.16E-05	31583.0	6.83E+14
7.25E-03	1.01E-01	1.60E-02	6.47E+14	3.13E-05	31885.5	6.47E+14
7.35E-03	9.55E-02	1.53E-02	6.11E+14	3.09E-05	32298.3	6.11E+14
7.45E-03	9.12E-02	1.46E-02	5.83E+14	3.09E-05	32367.9	5.83E+14
7.55E-03	8.66E-02	1.40E-02	5.53E+14	3.07E-05	32606.8	5.53E+14
7.65E-03	8.19E-02	1.34E-02	5.23E+14	3.02E-05	33109.8	5.23E+14
7.75E-03	7.79E-02	1.28E-02	4.98E+14	3.01E-05	33192.4	4.98E+14
7.85E-03	7.38E-02	1.23E-02	4.72E+14	2.98E-05	33521.2	4.72E+14
7.95E-03	7.02E-02	1.17E-02	4.48E+14	2.96E-05	33800.0	4.48E+14
8.05E-03	6.62E-02	1.12E-02	4.23E+14	2.91E-05	34309.8	4.23E+14
8.15E-03	6.28E-02	1.08E-02	4.01E+14	2.89E-05	34582.0	4.01E+14
8.25E-03	5.96E-02	1.03E-02	3.81E+14	2.86E-05	34911.3	3.81E+14
8.35E-03	5.66E-02	9.85E-03	3.61E+14	2.84E-05	35221.7	3.61E+14
8.45E-03	5.30E-02	9.43E-03	3.38E+14	2.77E-05	36046.8	3.38E+14
8.55E-03	4.98E-02	9.01E-03	3.17E+14	2.73E-05	36656.2	3.17E+14
8.65E-03	4.71E-02	8.63E-03	3.00E+14	2.69E-05	37124.0	3.00E+14
8.75E-03	4.42E-02	8.25E-03	2.82E+14	2.64E-05	37808.3	2.82E+14
8.85E-03	4.17E-02	7.90E-03	2.66E+14	2.61E-05	38338.8	2.66E+14
8.95E-03	3.88E-02	7.55E-03	2.47E+14	2.53E-05	39444.1	2.47E+14
9.05E-03	3.72E-02	7.24E-03	2.37E+14	2.53E-05	39470.1	2.37E+14
9.15E-03	3.44E-02	6.91E-03	2.19E+14	2.45E-05	40732.0	2.19E+14
9.25E-03	3.22E-02	6.61E-03	2.05E+14	2.40E-05	41608.4	2.05E+14
9.35E-03	2.99E-02	6.32E-03	1.90E+14	2.34E-05	42759.0	1.90E+14
9.45E-03	2.85E-02	6.04E-03	1.82E+14	2.34E-05	42811.3	1.82E+14
9.55E-03	2.65E-02	5.78E-03	1.68E+14	2.26E-05	44154.4	1.68E+14
9.65E-03	2.55E-02	5.54E-03	1.62E+14	2.28E-05	43891.1	1.62E+14
9.75E-03	2.38E-02	5.28E-03	1.51E+14	2.23E-05	44793.0	1.51E+14
9.85E-03	2.30E-02	5.02E-03	1.46E+14	2.27E-05	44082.8	1.46E+14
