pixel	counts
0	28276.2930
1	28550.4434
2	28699.4238
3	28684.7734
4	28569.6328
5	28462.2539
6	28243.8496
7	27995.2539
8	27737.9336
9	27371.1230
10	27043.6035
11	26704.0840
12	26279.0195
13	25920.0195
14	25484.3770
15	25115.5273
16	24640.4238
17	24205.9062
18	23652.6602
19	23158.3594
20	22363.2832
21	21022.2832
22	17612.3496
23	13082.0850
24	7887.6699
25	4277.2451
26	2856.1038
27	2214.2546
28	1884.8019
29	1674.1510
30	1508.2925
31	1403.2170
32	1301.5283
33	1216.1792
34	1149.8773
35	1082.9906
36	1036.5754
37	987.3396
38	946.2075
39	910.3396
40	877.9623
41	840.4528
42	817.9340
43	791.6509
44	774.2547
45	744.6981
46	732.0095
47	715.4905
48	699.8962
49	689.7075
50	667.4151
51	657.1698
52	642.3868
53	627.5095
54	614.1415
55	600.4056
56	590.5755
57	584.5660
58	572.8585
59	564.7642
60	552.3585
61	549.5566
62	544.0283
63	531.9905
64	526.6415
65	521.5755
66	511.1604
67	500.4245
68	501.3302
69	492.8868
70	492.1321
71	480.7170
72	476.0472
73	470.7358
74	456.8585
75	455.2547
76	448.9906
77	448.3207
78	448.9057
79	442.8019
80	436.8019
81	425.4340
82	426.6509
83	423.5094
84	419.7358
85	419.1887
86	413.4434
87	408.6415
88	402.9151
89	403.0755
90	397.8019
91	393.9622
92	386.5094
93	387.6887
94	384.1604
95	378.5660
96	385.6321
97	381.6793
98	373.8679
99	367.7924
100	366.3962
101	365.4906
102	358.7924
103	356.6793
104	355.8019
105	349.7170
106	345.7736
107	342.1981
108	341.7736
109	339.1038
110	339.8396
111	337.1509
112	331.0943
113	330.2358
114	322.6038
115	322.3585
116	325.6132
117	321.8207
118	317.4717
119	311.8868
120	308.6981
121	306.9906
122	303.7924
123	301.4057
124	301.1698
125	295.8113
126	292.0378
127	288.2170
128	293.5378
129	285.6604
130	291.2642
131	285.1038
132	286.1981
133	282.8773
134	275.8773
135	271.6321
136	271.4528
137	265.4528
138	261.9151
139	263.0566
140	259.1509
141	259.9622
142	255.7076
143	255.5000
144	248.1604
145	246.5660
146	245.3113
147	242.6132
148	234.9434
149	232.8302
150	222.6698
151	220.0472
152	220.7170
153	224.2264
154	240.7736
155	247.2736
156	244.4151
157	239.2547
158	239.9528
159	243.4528
160	242.1415
161	236.7547
162	232.7264
163	229.4811
164	235.1038
165	226.7641
166	226.6132
167	225.6887
168	227.0472
169	224.9623
170	221.5283
171	218.5943
172	212.8019
173	213.1415
174	212.2076
175	208.4717
176	210.2359
177	210.3585
178	207.6887
179	202.2170
180	203.4528
181	202.5283
182	205.5094
183	203.2736
184	203.4623
185	196.9340
186	196.5755
187	198.8019
188	194.1415
189	191.2547
190	193.2641
191	196.5094
192	191.2924
193	192.0943
194	192.0283
195	192.5000
196	195.1321
197	189.2264
198	183.9057
199	187.7170
200	187.5755
201	187.2453
202	189.0283
203	184.1792
204	182.5189
205	180.9528
206	180.6321
207	181.0849
208	182.1321
209	181.6887
210	178.8302
211	176.8679
212	178.7924
213	178.1698
214	172.7170
215	173.8019
216	173.9811
217	170.5849
218	169.3208
219	167.8962
220	166.2736
221	167.6981
222	165.6226
223	159.0094
224	160.1604
225	166.1038
226	159.9151
227	163.5755
228	155.8585
229	160.7641
230	155.6792
231	154.6887
232	159.7547
233	157.5660
234	156.7924
235	154.3019
236	151.3679
237	152.5943
238	153.3302
239	150.8396
240	147.3585
241	145.7359
242	146.9623
243	147.9811
244	141.7736
245	146.5189
246	146.4811
247	144.4528
248	144.7830
249	139.9623
250	139.9340
251	142.0000
252	140.0094
253	141.1698
254	138.1981
255	137.2170
256	136.7736
257	136.0566
258	134.9434
259	132.7924
260	135.3113
261	133.7641
262	134.4717
263	133.7076
264	125.6981
265	127.9623
266	132.8774
267	128.1698
268	129.3491
269	131.2170
270	128.4906
271	127.4057
272	129.2170
273	129.0283
274	126.3585
275	129.2264
276	126.7170
277	128.0377
278	129.5849
279	125.0000
280	122.6981
281	126.5377
282	126.0472
283	125.0377
284	121.8208
285	121.2076
286	124.6792
287	121.3962
288	121.9340
289	120.0849
290	121.5849
291	118.8491
292	122.1226
293	122.7453
294	123.4151
295	119.5283
296	118.0377
297	119.8962
298	119.7264
299	119.6887
300	119.6038
301	119.6415
302	119.7453
303	123.3868
304	114.6321
305	118.9717
306	119.9528
307	117.9340
308	117.0566
309	115.2170
310	112.8962
311	113.9245
312	116.9906
313	113.1604
314	114.3491
315	113.1321
316	112.2358
317	111.8962
318	113.1981
319	114.9623
320	112.3585
321	111.2736
322	108.6415
323	109.8396
324	109.0472
325	111.2830
326	113.1604
327	109.4906
328	112.8868
329	113.8585
330	110.0377
331	111.2264
332	109.9434
333	108.9245
334	110.0377
335	108.6226
336	110.2642
337	110.3868
338	110.7170
339	108.5849
340	110.6038
341	109.9057
342	114.5283
343	109.8396
344	107.4623
345	105.8679
346	110.6887
347	108.0283
348	107.8962
349	109.2547
350	106.8302
351	113.2358
352	109.0377
353	105.3774
354	107.8113
355	106.2736
356	106.6698
357	106.0094
358	105.1038
359	106.5377
360	103.5000
361	103.4245
362	105.2924
363	105.2642
364	104.1415
365	107.6698
366	108.4057
367	103.7924
368	106.3491
369	102.7170
370	103.1792
371	107.0943
372	107.0660
373	104.6604
374	103.6509
375	101.6509
376	104.4528
377	107.0283
378	102.6132
379	105.8774
380	104.5000
381	100.6226
382	104.5283
383	98.9906
384	103.0283
385	105.3113
386	104.4906
387	102.1604
388	104.7924
389	103.8585
390	105.7264
391	102.5849
392	103.9057
393	101.4906
394	100.1887
395	103.9434
396	100.6792
397	103.8585
398	101.4057
399	102.0849
400	103.9811
401	99.1415
402	102.3679
403	104.6698
404	103.5377
405	98.1132
406	101.6415
407	105.3019
408	100.3208
409	100.0094
